type,AWG,diameter_mm,Cu_area_mm2,R_per_m_20C_ohm,skin_limited_to_kHz,max_current_J5_A,note
solid,AWG4,5.1894,21.1506,0.00081,1.0,105.75,'Power wire — used for solid winding at low freq'
solid,AWG6,4.1154,13.3018,0.00129,1.0,66.51,'Power wire — used for solid winding at low freq'
solid,AWG8,3.2636,8.3656,0.00206,2.0,41.83,'Power wire — used for solid winding at low freq'
solid,AWG10,2.5882,5.2612,0.00327,3.0,26.31,'Power wire — used for solid winding at low freq'
solid,AWG12,2.0525,3.3088,0.0052,4.0,16.54,'Suitable for PFC inductor solid winding at <20kHz'
solid,AWG14,1.6277,2.0809,0.00827,7.0,10.4,'Suitable for PFC inductor solid winding at <20kHz'
solid,AWG16,1.2908,1.3087,0.01314,10.0,6.54,'Common for solid winding — check skin depth at fsw'
solid,AWG18,1.0237,0.823,0.0209,17.0,4.12,'Common for solid winding — check skin depth at fsw'
solid,AWG20,0.8118,0.5176,0.03323,26.0,2.59,'Common for solid winding — check skin depth at fsw'
solid,AWG22,0.6438,0.3255,0.05284,42.0,1.63,'Fine solid wire — skin effect significant at 70kHz'
solid,AWG24,0.5106,0.2047,0.08401,67.0,1.02,'Fine solid wire — skin effect significant at 70kHz'
solid,AWG26,0.4049,0.1288,0.13359,106.0,0.64,'Very fine — skin effect dominant above 10kHz'
solid,AWG28,0.3211,0.081,0.21241,169.0,0.4,'Very fine — skin effect dominant above 10kHz'
solid,AWG30,0.2546,0.0509,0.33774,269.0,0.25,'Very fine — skin effect dominant above 10kHz'
magnet,AWG14,1.6281,2.08186,0.00828,6.6,10.41,'Rubadue single-build magnet wire AWG14, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG15,1.4495,1.65016,0.01044,8.3,8.25,'Rubadue single-build magnet wire AWG15, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG16,1.2908,1.3086,0.01316,10.5,6.54,'Rubadue single-build magnet wire AWG16, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG17,1.1495,1.03779,0.01659,13.2,5.19,'Rubadue single-build magnet wire AWG17, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG18,1.0236,0.82291,0.02091,16.6,4.11,'Rubadue single-build magnet wire AWG18, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG19,0.9119,0.65311,0.02636,21.0,3.27,'Rubadue single-build magnet wire AWG19, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG20,0.8118,0.51759,0.03323,26.4,2.59,'Rubadue single-build magnet wire AWG20, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG21,0.723,0.41055,0.04191,33.3,2.05,'Rubadue single-build magnet wire AWG21, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG22,0.6438,0.32553,0.05284,42.0,1.63,'Rubadue single-build magnet wire AWG22, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG23,0.5733,0.25814,0.06663,53.0,1.29,'Rubadue single-build magnet wire AWG23, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG24,0.5106,0.20476,0.084,66.8,1.02,'Rubadue single-build magnet wire AWG24, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG25,0.4547,0.16238,0.1059,84.3,0.81,'Rubadue single-build magnet wire AWG25, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG26,0.4049,0.12876,0.1335,106.3,0.64,'Rubadue single-build magnet wire AWG26, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG27,0.3607,0.10218,0.1683,133.9,0.51,'Rubadue single-build magnet wire AWG27, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG28,0.3211,0.08098,0.2121,169.0,0.4,'Rubadue single-build magnet wire AWG28, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG29,0.2859,0.0642,0.2675,213.2,0.32,'Rubadue single-build magnet wire AWG29, polyurethane enamel, 105C, IEC 60317-0-1'
magnet,AWG30,0.2546,0.05091,0.337,268.9,0.25,'Rubadue single-build magnet wire AWG30, polyurethane enamel, 105C, IEC 60317-0-1'
